Request ID,Group,Request Mode,Department,Subject,Created Time,Completed Time,Reason for Request,Last Update Time,Resolved Time
7918,CBS,Web Form,Not Assigned,OPENING OF TWO GL's  FOR REVERSAL OF WRONG COMM POSTED,11/11/2015 16:37,11/12/2015 9:19,Not Assigned,11/12/2015 9:19,11/12/2015 9:19
8000,IT Support,Web Form,Not Assigned,email access - callist,11/16/2015 14:12,11/17/2015 13:48,Not Assigned,11/17/2015 13:45,11/17/2015 13:48
8047,IT Support,Web Form,Not Assigned,SYBRIN FAILURE TO OPEN IMAGES,11/17/2015 15:02,Not Assigned,Not Assigned,Not Assigned,Not Assigned
8004,IT Support,Web Form,Not Assigned,ERROR IN OPENING TREASURY MODE,11/16/2015 15:41,Not Assigned,Not Assigned,Not Assigned,Not Assigned
7958,IT Support,Web Form,Not Assigned,ABM COMPUTER IS VERY SLOW,11/13/2015 10:21,Not Assigned,Not Assigned,11/16/2015 10:22,Not Assigned
7703,IT Support,Web Form,Retail Department,loan and account details not displayed,11/3/2015 16:02,Not Assigned,Not Assigned,11/12/2015 14:05,Not Assigned
7988,CBS,Web Form,Not Assigned,"WORKFLOW,CTS AND CBS OPERATIONS RIGHTS",11/16/2015 10:26,11/16/2015 10:53,Not Assigned,11/16/2015 10:52,11/16/2015 10:53
7984,IT Support,Web Form,"Planning, Development and Operation Department",USER NAME DISABLED ON GATEWAY,11/16/2015 9:32,11/16/2015 11:56,Not Assigned,11/16/2015 11:02,11/16/2015 11:56
7981,IT Support,Web Form,Not Assigned,Computer repair,11/16/2015 9:19,11/16/2015 11:57,Not Assigned,Not Assigned,11/16/2015 11:57
7977,IT Support,Web Form,Not Assigned,CTS SCANNER IS NOT WORKING,11/16/2015 8:35,11/16/2015 14:39,Not Assigned,11/16/2015 11:57,11/16/2015 14:39
7910,Exim Sybrin,Web Form,Not Assigned,CHECKLIST ON SYBRIN,11/11/2015 13:55,Not Assigned,Not Assigned,Not Assigned,Not Assigned
7941,CBS,Web Form,Not Assigned,CBS USER RIGHTS,11/12/2015 11:32,11/12/2015 12:07,Not Assigned,11/12/2015 11:53,11/12/2015 12:07
7776,Network,Web Form,Not Assigned,CONNECTION PROBLEM.,11/6/2015 16:05,Not Assigned,Not Assigned,11/11/2015 16:04,Not Assigned
7947,CBS,Web Form,Not Assigned,RESET PASSWORD,11/12/2015 16:07,11/12/2015 16:25,Not Assigned,11/12/2015 16:19,11/12/2015 16:25
8010,CBS,Web Form,Not Assigned,REQUEST FOR USER RIGHTS IFO BAKARI MACHUNJA,11/16/2015 17:59,11/16/2015 18:05,Not Assigned,11/16/2015 18:05,11/16/2015 18:05
8009,IT Support,Web Form,Finance,FATS SYSTEM NOT WORKING,11/16/2015 17:55,Not Assigned,Not Assigned,Not Assigned,Not Assigned
8005,IT Support,Web Form,"Planning, Development and Operation Department",SCANNING PROBLEM,11/16/2015 15:42,11/16/2015 17:13,Not Assigned,11/17/2015 9:04,11/16/2015 17:13
6008,CBS,Web Form,Finance,GLs Posting,8/27/2015 12:36,8/28/2015 16:58,Not Assigned,8/27/2015 15:10,8/28/2015 16:58
5065,IT Support,Web Form,Not Assigned,REQUEST FOR ADDING SPACE TO MY ARCHIVE FOLDER,7/28/2015 8:02,8/4/2015 9:42,Not Assigned,8/4/2015 9:42,8/4/2015 9:42
7235,CBS,Web Form,Not Assigned,problem of printing bankers,10/13/2015 17:58,10/13/2015 18:35,Not Assigned,10/13/2015 18:35,10/13/2015 18:35
3087,CBS,Web Form,Not Assigned,UNLOCK DOMITILA MACHA,5/18/2015 15:46,5/18/2015 15:50,Not Assigned,5/18/2015 15:51,5/18/2015 15:50
6463,IT Support,Web Form,Not Assigned,PC IS SLOW,9/15/2015 11:05,9/16/2015 10:33,Not Assigned,Not Assigned,9/16/2015 10:33
3068,IT Support,Web Form,Not Assigned,password reset,5/18/2015 12:36,5/20/2015 8:47,Not Assigned,5/19/2015 11:04,5/20/2015 8:47
6205,CBS,Web Form,Not Assigned,CBS UNBLOCK,9/3/2015 14:05,9/3/2015 15:24,Not Assigned,9/3/2015 14:59,9/3/2015 15:24
1616,Not Assigned,Web Form,Not Assigned,Unable to login into PC using AD credentials,4/8/2015 12:46,4/8/2015 15:15,Not Assigned,4/8/2015 14:08,4/8/2015 15:15
6040,CBS,Web Form,Not Assigned,PASSWORD RESET,8/28/2015 12:20,8/28/2015 12:36,Not Assigned,8/28/2015 12:36,8/28/2015 12:36
6037,CBS,Web Form,Not Assigned,PASSWORD RESERT,8/28/2015 11:52,8/28/2015 12:37,Not Assigned,8/28/2015 11:58,8/28/2015 12:37
1326,CBS,Web Form,Not Assigned,OPENING GL PARAMETER,3/28/2015 11:42,4/23/2015 16:47,Not Assigned,3/30/2015 8:47,4/23/2015 16:47
8013,IT Support,Web Form,Not Assigned,assistance with my sybrin,11/17/2015 8:30,11/17/2015 9:33,Not Assigned,Not Assigned,11/17/2015 9:33
5581,CBS,Not Assigned,Not Assigned,assist to unlock user JULIUSG ON WORKFLOW  SYBRIN,8/12/2015 18:54,8/12/2015 18:57,Not Assigned,8/12/2015 18:56,8/12/2015 18:57
2081,CBS,Web Form,Not Assigned,CBS Rights,4/21/2015 11:35,4/21/2015 11:44,Not Assigned,4/21/2015 11:44,4/21/2015 11:44
8016,IT Support,Web Form,Not Assigned,RESET COMPUTER USER RIGHTS,11/17/2015 9:15,11/17/2015 9:34,Not Assigned,Not Assigned,11/17/2015 9:34
7987,CBS,Web Form,Not Assigned,CASHIER RIGHTS IFO SOPHIA MREMA (SOPHIMRE),11/16/2015 10:17,11/16/2015 11:26,Not Assigned,11/16/2015 11:26,11/16/2015 11:26
2373,CBS,Web Form,Not Assigned,ALLOW DEBIT POSTING IN GL EX GAIN/LOSS ON TREASURY OPERATIONS,4/28/2015 11:24,4/28/2015 12:54,Not Assigned,4/28/2015 12:54,4/28/2015 12:54
5861,CBS,Web Form,Not Assigned,USER RIGHT,8/21/2015 15:12,8/21/2015 16:16,Not Assigned,8/21/2015 16:11,8/21/2015 16:16
702,IT Support,Not Assigned,Not Assigned,I cannot receive or send email,3/10/2015 12:31,3/10/2015 15:13,Not Assigned,3/10/2015 12:33,3/10/2015 15:13
3882,CBS,Web Form,Not Assigned,USER RIGHTS - ANASTELLA,6/15/2015 7:43,6/15/2015 9:52,Not Assigned,6/15/2015 9:50,6/15/2015 9:52
3515,CBS,Web Form,Not Assigned,password reset,6/1/2015 16:49,6/1/2015 17:30,Not Assigned,6/1/2015 17:30,6/1/2015 17:30
7785,Network,Web Form,Not Assigned,RE:ATM CASSETTE,11/7/2015 10:26,Not Assigned,Not Assigned,Not Assigned,Not Assigned
1306,IT Support,Web Form,Not Assigned,ILAKIZA HEZWA- UNLOCK COMPUTER LOG IN ID,3/27/2015 15:02,3/27/2015 15:05,Not Assigned,3/27/2015 15:04,3/27/2015 15:04
8017,IT Support,Web Form,Not Assigned,sybrin failed to connect,11/17/2015 9:17,11/17/2015 11:15,Not Assigned,11/17/2015 10:51,11/17/2015 11:15
7960,IT Support,Web Form,Not Assigned,ABM COMPUTER  VERY SLOW,11/13/2015 10:25,Not Assigned,Not Assigned,11/16/2015 10:27,Not Assigned
7801,IT Support,Web Form,Clearing,Reset window login password,11/9/2015 10:48,Not Assigned,Not Assigned,11/10/2015 8:51,Not Assigned
7653,IT Support,Web Form,Not Assigned,RESET PASSWORD,11/2/2015 13:25,11/10/2015 11:18,Not Assigned,11/2/2015 13:29,11/10/2015 11:18
760,Network,Web Form,Not Assigned,Need internet access- login credentials,3/12/2015 9:14,3/12/2015 18:50,Not Assigned,3/12/2015 13:21,3/12/2015 18:50
2228,CBS,Web Form,Not Assigned,customer service rights for pendo ngowi,4/24/2015 11:14,4/24/2015 11:32,Not Assigned,4/24/2015 11:28,4/24/2015 11:32
8011,CBS,Web Form,Not Assigned,unlock sybrin,11/17/2015 8:20,11/17/2015 8:35,Not Assigned,11/17/2015 8:35,11/17/2015 8:35
8008,CBS,Web Form,CENTRALIZED BACK OFFICE OPERATIONS,ADDITON RIGHTS ON CBS AND SYBRIN,11/16/2015 17:50,11/17/2015 9:01,Not Assigned,11/17/2015 9:01,11/17/2015 9:01
8015,CBS,Web Form,"Planning, Development and Operation Department",SALARY USER RIGHTS,11/17/2015 9:11,11/17/2015 9:44,Not Assigned,11/17/2015 9:44,11/17/2015 9:44
7712,CBS,Web Form,Not Assigned,user rights,11/4/2015 8:43,11/4/2015 8:51,Not Assigned,11/4/2015 8:51,11/4/2015 8:51
7944,IT Support,Web Form,Not Assigned,ILOCK MAULID JUMA,11/12/2015 14:27,11/12/2015 14:43,Not Assigned,11/12/2015 14:42,11/12/2015 14:43
6254,IT Support,Web Form,Not Assigned,RESET DESKTOP PASSWORD FOR AUDAX ROBERT,9/7/2015 11:15,9/7/2015 11:26,Not Assigned,Not Assigned,9/7/2015 11:26
5546,CBS,Not Assigned,IT and CBS Department,Request to Shift my Sybrin right to IT support right,8/12/2015 10:25,8/19/2015 12:54,Not Assigned,8/12/2015 11:12,8/19/2015 12:54
6355,IT Support,Web Form,Not Assigned,SALES TEMEKE PC PROBLEM,9/10/2015 11:13,9/14/2015 9:18,Not Assigned,9/14/2015 9:19,9/14/2015 9:18
5339,IT Support,Phone Call,Not Assigned,PC is too slow,8/6/2015 10:51,8/6/2015 10:52,Not Assigned,8/6/2015 10:52,8/6/2015 10:52
51,IT Support,Web Form,Not Assigned,Unable to login into File server using user credentials,2/18/2015 12:06,2/20/2015 17:15,Not Assigned,2/19/2015 11:25,2/20/2015 17:15
1770,Not Assigned,Web Form,Not Assigned,RE;UNLOCK SYBRIN USER MASOOD,4/13/2015 14:36,4/13/2015 20:06,Not Assigned,4/13/2015 20:06,4/13/2015 20:06
7375,IT Support,Web Form,Not Assigned,CREATION OF E-MAIL IFO SALES EXECUTIVE -FARAJI ISSA SAID,10/20/2015 10:57,10/20/2015 11:22,Not Assigned,Not Assigned,10/20/2015 11:22
7370,IT Support,Web Form,Not Assigned,F/O TICKETS ARE NOT PRINTED IN B/O PRINTER,10/20/2015 10:11,10/20/2015 10:18,Not Assigned,Not Assigned,10/20/2015 10:18
7363,IT Support,Web Form,Not Assigned,Treasury backoffice shared folder,10/20/2015 9:54,10/20/2015 10:18,Not Assigned,Not Assigned,10/20/2015 10:18
7184,IT Support,Web Form,Not Assigned,UNLOCK SYBRIN CASE NUMBER ON REMITTANCE,10/12/2015 12:14,10/13/2015 16:00,Not Assigned,10/13/2015 16:00,10/13/2015 16:00
7275,Network,Web Form,Not Assigned,No internet connection,10/16/2015 8:26,10/16/2015 15:03,Not Assigned,Not Assigned,10/16/2015 15:03
7078,IT Support,Web Form,INTERNATIONAL BANKING DIVISION,Swift 1 PC Issue,10/7/2015 12:19,10/15/2015 9:05,Not Assigned,10/15/2015 9:05,10/15/2015 9:05
7134,IT Support,Web Form,Reconciliation Department,Request of Scanner for UAT testing- Sybrin,10/8/2015 16:54,10/12/2015 16:22,Not Assigned,10/12/2015 12:34,10/12/2015 16:22
7966,IT Support,Web Form,Not Assigned,EMAILS NOT GOING OUT-THOMASB,11/13/2015 12:49,11/16/2015 9:26,Not Assigned,11/16/2015 9:26,11/16/2015 9:26
7978,CBS,Web Form,Not Assigned,PLS RESET THE PASSWORD,11/16/2015 8:46,11/16/2015 9:07,Not Assigned,11/16/2015 10:01,11/16/2015 9:07
6979,IT Support,Web Form,Not Assigned,RESETING EXIMSAMORA PC PASSWORD,10/5/2015 8:35,10/5/2015 11:06,Not Assigned,10/5/2015 8:49,10/5/2015 11:06
7899,IT Support,Web Form,Not Assigned,ADRENALIN,11/11/2015 10:32,11/11/2015 16:16,Not Assigned,11/11/2015 10:48,11/11/2015 16:16
7743,IT Support,Web Form,Not Assigned,CASE NUMBER 23623,11/6/2015 9:16,11/6/2015 14:59,Not Assigned,11/6/2015 14:59,11/6/2015 14:59
3053,IT Support,Web Form,Not Assigned,Reset password and unlock user id,5/18/2015 10:44,5/18/2015 12:44,Not Assigned,5/18/2015 11:06,5/18/2015 12:44
6499,CBS,Web Form,Clearing,user locked-SYBRIN 8 UAT,9/16/2015 12:58,9/16/2015 13:14,Not Assigned,Not Assigned,9/16/2015 13:14
22,IT Support,Web Form,Not Assigned,EXIM BANK ALL EMPLOYEES MAILS,2/17/2015 11:27,2/17/2015 16:44,Not Assigned,2/17/2015 12:27,2/17/2015 12:27
6004,CBS,Web Form,Not Assigned,ADDING USER RIGHTS FOR NYAMHANGA MHAGACHI ON CTS,8/27/2015 11:37,8/27/2015 11:42,Not Assigned,8/27/2015 11:42,8/27/2015 11:42
5402,CBS,Web Form,Not Assigned,ABM user rights,8/10/2015 9:18,8/10/2015 9:36,Not Assigned,8/10/2015 9:36,8/10/2015 9:36
7687,IT Support,Web Form,Not Assigned,RESET PASSWORD OF CASH NYERERE,11/3/2015 11:06,11/4/2015 16:35,Not Assigned,11/3/2015 11:13,11/4/2015 16:35
7517,CBS,Web Form,Not Assigned,USER RIGHTS WORKFLOW  IBD- EDWIN MWAGENI,10/26/2015 12:12,10/26/2015 12:56,Not Assigned,10/26/2015 12:29,10/26/2015 12:56
7897,IT Support,Web Form,Not Assigned,RESET PC PASSWORD- HUSSEIN KITWANA,11/11/2015 10:30,11/12/2015 12:51,Not Assigned,11/11/2015 14:02,11/12/2015 12:51
